"index.typestatus","reps"
"lectotype of ortholasma rugosum",1
"lectotype of orthoperus elongatus",1
"lectotype of ostrea idriaensis",1
"lectotype of ovula neglecta| voucher of ovula neglecta",1
"lectotype of ovula variabilis| voucher of ovula variabilis",1
"lectotype of oxyporus austrinus",1
"lectotype of oxyporus elegans",1
"lectotype of oxyporus quinquemaculatus",1
"lectotype of oxyporus rufipennis",1
"lectotype of oxytelus niger",1
"lectotype of oxytelus placusinus",1
"lectotype of oxytelus punctatus",1
"lectotype of oxytelus sobrinus",1
"lectotype of pachybrachis infaustus| syntype of pachybrachis infaustus",1
"lectotype of pachybrachis sobrinus| syntype of pachybrachys sobrinus",1
"lectotype of pachybrachys atomus| syntype of pachybrachys atomus",1
"lectotype of pachybrachys calcaratus| holotype of pachybrachys calcaratus",1
"lectotype of pachybrachys carolinensis| syntype of pachybrachys carolinensis",1
"lectotype of pachybrachys cephalicus| holotype of pachybrachys cephalicus",1
"lectotype of pachybrachys confederatus| holotype of pachybrachys confederatus",1
"lectotype of pachybrachys diversus| holotype of pachybrachys diversus",1
"lectotype of pachybrachys lodingi| syntype of pachybrachys lodingi",1
"lectotype of pachybrachys mollis| syntype of pachybrachys mollis",1
"lectotype of pachybrachys relictus| holotype of pachybrachys relictus",1
"lectotype of pachybrachys tybeensis| holotype of pachybrachys tybeensis",1
"lectotype of pachybrachys varians| syntype of pachybrachys varians",1
"lectotype of pachycheilus pfeifferi",1
"lectotype of pachypoma virescens",1
"lectotype of pachyteles testaceus",1
"lectotype of paederus compotens",1
"lectotype of paederus femoralis",1
"lectotype of paederus obliteratus",1
"lectotype of paederus ustus",1
"lectotype of palaminus contortus",1
"lectotype of pallodes obsoletus",1
"lectotype of paludina dissimilis",1
"lectotype of paludina petrosa",1
"lectotype of pamphila juba| syntype of pamphila juba",1
"lectotype of pangus testaceus",1
"lectotype of pantarbes capito",1
"lectotype of papuina adonis",1
"lectotype of papuina gamelia",1
"lectotype of papuina miser",1
"lectotype of papuina sellersi",1
"lectotype of parachromis gulosus| syntype of parachromis gulosus| voucher of parachromis managuensis",1
"lectotype of paragus angustifrons",1
"lectotype of paralichthys patagonicus| syntype of paralichthys patagonicus",1
"lectotype of parascorpiops montana",1
"lectotype of pardosa brunnea",1
"lectotype of pardosa pauxilla",1
"lectotype of partula diminuta",1
"lectotype of patella albicostata",1
"lectotype of patella (lottia) textilis",1
"lectotype of patella sandwichensis",1
"lectotype of patella tenera",1
"lectotype of patrobus californicus",1
"lectotype of paxillus lyratus",1
"lectotype of pecten martinezensis",1
"lectotype of pecten peckhami| lectotype of palliolum (delectopecten) peckhami",1
"lectotype of pediacus subglaber",1
"lectotype of pedipes globulosus",1
"lectotype of pedipes ovalis",1
"lectotype of pentilia misella",1
"lectotype of pentilia ovalis",1
"lectotype of pericera coelata| syntype of pericera coelata",1
"lectotype of perna bicolor",1
"lectotype of phanaeus torrens",1
"lectotype of phasianella affinis",1
"lectotype of phasianella concolor",1
"lectotype of phasianella tesselata",1
"lectotype of pheidole carapuna",1
"lectotype of pheidole chalca| syntype of pheidole chalca",1
"lectotype of pheidole soritis| syntype of pheidole soritis",1
"lectotype of phidippus borealis",1
"lectotype of philhydrus californicus",1
"lectotype of philhydrus carinatus",1
"lectotype of philhydrus consors",1
"lectotype of philhydrus diffusus",1
"lectotype of philhydrus fucatus",1
"lectotype of philhydrus hamiltoni",1
"lectotype of philhydrus ochraceus",1
"lectotype of philhydrus pectoralis",1
"lectotype of philhydrus reflexipennis",1
"lectotype of philhydrus simplex",1
"lectotype of philonthus aequalis",1
"lectotype of philonthus alutaceus",1
"lectotype of philonthus arizonensis",1
"lectotype of philonthus asper",1
"lectotype of philonthus atriceps",1
"lectotype of philonthus aurulentus",1
"lectotype of philonthus basalis",1
"lectotype of philonthus bidentatus",1
"lectotype of philonthus brevipennis",1
"lectotype of philonthus caurinus",1
"lectotype of philonthus clunalis",1
"lectotype of philonthus confertus",1
"lectotype of philonthus crotchi",1
"lectotype of philonthus cunctans",1
"lectotype of philonthus distans",1
"lectotype of philonthus fallaciosus",1
"lectotype of philonthus ferreipennis",1
"lectotype of philonthus gentilis",1
"lectotype of philonthus gracilicornis",1
"lectotype of philonthus grandicollis",1
"lectotype of philonthus hudsonicus",1
"lectotype of philonthus innocuus",1
"lectotype of philonthus instabilis",1
"lectotype of philonthus inversus",1
"lectotype of philonthus lecontei",1
"lectotype of philonthus lithocharinus",1
"lectotype of philonthus microphthalmus",1
"lectotype of philonthus nitescens",1
"lectotype of philonthus occidentalis",1
"lectotype of philonthus parvus",1
"lectotype of philonthus perversus",1
"lectotype of philonthus pettiti",1
"lectotype of philonthus picicornis",1
"lectotype of philonthus puberculus",1
"lectotype of philonthus pubes",1
"lectotype of philonthus punctatellus",1
"lectotype of philonthus quadricollis",1
"lectotype of philonthus quadrulus",1
"lectotype of philonthus quediinus",1
"lectotype of philonthus schwarzi",1
"lectotype of philonthus semiruber",1
"lectotype of philonthus sericinus",1
"lectotype of philonthus sulcicollis",1
"lectotype of philonthus theveneti",1
"lectotype of philonthus triangulum",1
"lectotype of philonthus versutus",1
"lectotype of philonthus viridanus",1
"lectotype of philonthus virilis",1
"lectotype of philothermus glabriculus",1
"lectotype of photogenis callistius",1
"lectotype of photogenis eurystomus",1
"lectotype of phrurolithus minutus",1
"lectotype of phthiria aldrichi| syntype of phthiria aldrichi",1
"lectotype of phthiria scolpax",1
"lectotype of phymaphora californica",1
"lectotype of physa elata",1
"lectotype of physa margaratacea",1
"lectotype of physa showalteri",1
"lectotype of phytomyza ilicis",1
"lectotype of phytosus opacus",1
"lectotype of pinodytes hamiltoni",1
"lectotype of pinodytes pusio",1
"lectotype of pinophilus densus",1
"lectotype of pinophilus opacus",1
"lectotype of pinophilus parcus",1
"lectotype of pipiza calcarata",1
"lectotype of pipiza femoralis",1
"lectotype of pipiza fraudulenta",1
"lectotype of pipiza nigribarba",1
"lectotype of pipiza salax",1
"lectotype of pisidium punctatum",1
"lectotype of pitys atiensis",1
"lectotype of planaxis abbreviata",1
"lectotype of planaxis atra",1
"lectotype of planaxis plumbea",1
"lectotype of planorbis affinis| lectotype of planorbis affinis",1
"lectotype of planorbis calathus",1
"lectotype of planorbis decipiens",1
"lectotype of planorbis dentatus",1
"lectotype of planorbis dentiferus edentatus",1
"lectotype of planorbis dentiferus edentatus| lectotype of planorbis dentiferus",1
"lectotype of planorbis haldemani",1
"lectotype of planorbis macnabianus",1
"lectotype of planorbis pallidus",1
"lectotype of planorbis redfieldi",1
"lectotype of planorbis ruppellii",1
"lectotype of planorbis salinarum",1
"lectotype of planorbis trochoides",1
"lectotype of planorbis virens",1
"lectotype of platyaxum foliatum| syntype of platyaxum foliatum",1
"lectotype of platyaxum orthosoleniskum| lectotype of platyaxum canadense",1
"lectotype of platynus arizonensis",1
"lectotype of platynus funebris",1
"lectotype of platynus languidus",1
"lectotype of platynus opaculus",1
"lectotype of plegaderus fraternus",1
"lectotype of plestia kikkawai| syntype of plestia kikkawai",1
"lectotype of pleurodictyum planum| lectotype of michelinia plana",1
"lectotype of pleurotoma acuminata",1
"lectotype of pleurotoma albocincta",1
"lectotype of pleurotoma decorata",1
"lectotype of pleurotoma diminuta",1
"lectotype of pleurotoma maculata",1
"lectotype of pleurotoma minor",1
"lectotype of pleurotoma nigrescens",1
"lectotype of pleurotoma plicata",1
"lectotype of pleurotoma pumila| voucher of pleurotoma pumila",1
"lectotype of pleurotoma quadrilineata",1
"lectotype of pleurotoma rugosa",1
"lectotype of pleurotoma solida",1
"lectotype of pleurotoma striosa| voucher of pleurotoma striosa",1
"lectotype of pleurotoma trilineata",1
"lectotype of plicatula simplex",1
"lectotype of pliobothrus symmetricus",1
"lectotype of ploas amabilis| syntype of ploas amabilis",1
"lectotype of ploas limbata",1
"lectotype of ploas nigripennis",1
"lectotype of pocota cyanella",1
"lectotype of poecilia amazonica",1
"lectotype of poecilichthys punctulatus| syntype of poecilichthys punctulatus",1
"lectotype of poecilus cursorius",1
"lectotype of poecilus laetulus",1
"lectotype of poecilus scitulus",1
"lectotype of poecilus subcordatus",1
"lectotype of polymita brocheroi",1
"lectotype of portia durbanii",1
"lectotype of potamomya inflata| additional material of potamomya inflata| voucher of potamomya inflata",1
"lectotype of potamomya trigonalis| additional material of potamomya trigonalis| voucher of potamomya trigonalis",1
"lectotype of potamonectes rotundatus",1
"lectotype of primitiopsis bassleri",1
"lectotype of prionus heros| syntype of prionus heros",1
"lectotype of prokalotermes hagenii",1
"lectotype of proserpina discoidea",1
"lectotype of proserpina opalina",1
"lectotype of proserpina pulchra| voucher of proserpina (proserpina) linguifera| voucher of proserpina pulchra",1
"lectotype of prosperpina pisum| voucher of proserpina (despoenella) pisum| voucher of proserpina pisum",1
"lectotype of prostheclina venatoria",1
"lectotype of prostheclina viaria",1
"lectotype of prunum storeria| voucher of marginella storeria",1
"lectotype of psammobia purpureo-maculata",1
"lectotype of psectrogaster rhomboides",1
"lectotype of pseudodon resupinatus",1
"lectotype of psyllobora taedata",1
"lectotype of pteraclis fasciatus| syntype of pteraclis fasciatus| voucher of pteraclis fasciatus| voucher of pteraclis fasciatus| voucher of caristius fasciatus",1
"lectotype of pterallastes thoracicus",1
"lectotype of pterostichus abjectus",1
"lectotype of pterostichus adjunctus",1
"lectotype of pterostichus algidus",1
"lectotype of pterostichus blanchardi",1
"lectotype of pterostichus caligans",1
"lectotype of pterostichus contractus",1
"lectotype of pterostichus corrusculus",1
"lectotype of pterostichus corvus",1
"lectotype of pterostichus crenicollis",1
"lectotype of pterostichus desidiosus",1
"lectotype of pterostichus hamiltoni",1
"lectotype of pterostichus illustris",1
"lectotype of pterostichus inanis",1
"lectotype of pterostichus incisus",1
"lectotype of pterostichus isabellae",1
"lectotype of pterostichus longicollis",1
"lectotype of pterostichus longulus",1
"lectotype of pterostichus lubricus",1
"lectotype of pterostichus lustrans",1
"lectotype of pterostichus oregonus",1
"lectotype of pterostichus pennsylvanicus",1
"lectotype of pterostichus planatus",1
"lectotype of pterostichus protensus",1
"lectotype of pterostichus protractus",1
"lectotype of pterostichus purpuratus",1
"lectotype of pterostichus rejectus",1
"lectotype of pterostichus sculptus",1
"lectotype of pterostichus scutellaris",1
"lectotype of pterostichus simplex",1
"lectotype of pterostichus spraguei",1
"lectotype of pterostichus subarcuatus",1
"lectotype of pterostichus sustentus",1
"lectotype of pterostichus tarsalis",1
"lectotype of pterostichus texanus",1
"lectotype of pterostichus tumescens",1
"lectotype of ptilium fungi",1
"lectotype of ptomaphagus californicus",1
"lectotype of ptomaphagus fisus",1
"lectotype of ptomaphagus nevadicus",1
"lectotype of ptomaphagus ulkei",1
"lectotype of ptychophyllum ipomaea| lectotype of schlotheimophyllum ipomaea",1
"lectotype of ptychophyllum typicum| lectotype of schlotheimophyllum typicum",1
"lectotype of puncturella noachina",1
"lectotype of pupa capitata",1
"lectotype of pupa (cylindrella) pontifica",1
"lectotype of pupa exilis",1
"lectotype of pupa hexodon",1
"lectotype of pupa jamaicensis",1
"lectotype of pupa lata",1
"lectotype of pupa lyrata",1
"lectotype of pupa mellita",1
"lectotype of pupa nobilior",1
"lectotype of pupa obesa",1
"lectotype of pupa pumilio",1
"lectotype of puparubella rubella",1
"lectotype of pupa (siphonostoma) lactaria",1
"lectotype of pupa (siphonostoma) porrecta",1
"lectotype of pupa tenuidens",1
"lectotype of puppa nacca",1
"lectotype of pupura marmorata",1
"lectotype of purpura foveolata| voucher of purpura foveolata",1
"lectotype of purpura nodulosa| syntype of purpura nodulosa",1
"lectotype of purpura ostrina| voucher of nucella ostrina",1
"lectotype of pygorhynchus obovatus",1
"lectotype of pyramis fusca",1
"lectotype of quedius desertus",1
"lectotype of quedius limbifer",1
"lectotype of quedius puncticeps",1
"lectotype of raja garmani garmani",1
"lectotype of raja garmani| syntype of raja ackleyi ornata",1
"lectotype of rana esculenta perezi",1
"lectotype of realia abbreviata",1
"lectotype of realia affinis",1
"lectotype of realia costata",1
"lectotype of realia elongata",1
"lectotype of realia laevis",1
"lectotype of realia ochrostoma",1
"lectotype of realia scalariformis",1
"lectotype of realia variabilis",1
"lectotype of registoma complanatum",1
"lectotype of rhabdocyclus scutellus| lectotype of zaphrentis scutella",1
"lectotype of rhamdia depressa",1
"lectotype of rhamdia parryi",1
"lectotype of rhamdia sacrificii",1
"lectotype of rhamphobrachium agassizii",1
"lectotype of rhizomyrma parvidens",1
"lectotype of rhizophagus approximatus",1
"lectotype of rhizophagus cylindricus",1
"lectotype of rhizophagus remotus",1
"lectotype of rissoa clandestina| voucher of rissoa clandestina",1
"lectotype of rissoa crassicostata",1
"lectotype of rissoa janus| voucher of rissoa janus",1
"lectotype of rissoa striosa",1
"lectotype of rissoina gracilis",1
"lectotype of rissoina villica",1
"lectotype of rivulus atratus| syntype of rivulus atratus",1
"lectotype of rivulus obscurus| syntype of rivulus obscurus",1
"lectotype of rivulus ornatus| syntype of rivulus ornatus",1
"lectotype of roncus pacificus",1
"lectotype of salticus augustus| syntype of salticus augustus",1
"lectotype? of salticus austinensis",1
"lectotype of salticus electricus| syntype of salticus electricus",1
"lectotype of salticus gracilis| syntype of salticus gracilis",1
"lectotype of salticus simplex| syntype of salticus simplex",1
"lectotype of salticus tristis",1
"lectotype of salticus tristis var. rufula| syntype of salticus tristis var. rufula",1
"lectotype of sapromyza bispina",1
"lectotype of sapromyza fraterna",1
"lectotype of scalaria ligata| voucher of scalaria ligata",1
"lectotype of scalaria modesta",1
"lectotype of scalaria perplexa",1
"lectotype of scaphisoma pusillum",1
"lectotype of scaphisoma suturale",1
"lectotype of scarites ephialtes",1
"lectotype of scarites intermedius",1
"lectotype of scarites patruelis",1
"lectotype of scellus vigil",1
"lectotype of scleroplegma lanterna| syntype of scleroplegma lanterna",1
