"identifiedBy","reps"
"Wiegm.",10
"(Wilckens)",10
"Willard P. Leutze",10
"William D. Anderson, Phillip C. Heemstra",10
"William D. Peck",10
"Williams, Palmer",10
"William Stimpson, Joseph A. Cushman",10
"Yochelson; Hlavin",10
"Zimmerman",10
"Zumwalt, Gary S.; Delaca",10
"A. Braul",9
"Alan Beu",9
"Albert E. Wood, Bryan Patterson",9
"Albritton",9
"Alcide d'Orbigny, Bernhard Kummel",9
"Alcide d'Orbigny, Canu+Bassler",9
"A. Queiroz",9
"A. S. Dippenaar",9
"August Muller",9
"Bachman, EA",9
"Barbara Vera, Marcelo A. Reguero, Laureano R. Gonzalez Ruiz",9
"(Barrande in Perner)",9
"Beatrice M. Parisi",9
"Belford",9
"Benjamin Silliman",9
"Berthiaume",9
"Brinkman",9
"(Brocchi), Amadeus William Grabau",9
"Brongersma",9
"Brown, Fred S. Parker",9
"Cards, William N. Eschmeyer",9
"Carlos Alberto S. de Lucena",9
"Carl Owen Dunbar, Raymond",9
"Carole Hickman",9
"Caron, Jean-Bernard, (ROM), Royal Ontario Museum (CANADA)",9
"C. Austin",9
"Charles Foster Batchelder",9
"Cifelli; Belford",9
"Clint Boyd",9
"C. M. Yoshimoto",9
"Collin D. Little",9
"Coogan",9
"Daniel L. Gebo, Elwyn L. Simons",9
"David A. Rubin",9
"David T. Corey",9
"D. Eff",9
"Deyrolle",9
"D. Keith Serafy",9
"D.L. Wager",9
"Doug J. Eernisse",9
"Douglas Bingham",9
"Dutta",9
"Duvivier",9
"Edgar Leopold Layard",9
"Edward A. Chapin",9
"Edward Drinker Cope",9
"Edward L. Mark",9
"E. J. Crossman",9
"Ernest A. Back",9
"Ernst Vincenz Enzmann",9
"Erwin, Douglas H.",9
"E/V Nautilus-075, Ocean Exploration Trust",9
"Florence Weber",9
"Franco Rasetti, George Theokritoff",9
"Frank E. Etzler",9
"GALLOWAY, WISSLER",9
"Galton, Peter M., Emeritus, University of Bridgeport",9
"Gary Rosenberg",9
"G. David Johnson, Bruce W. Stender, Paula K. Ashe",9
"Genier",9
"George A. Boardman",9
"Gerhard Krefft",9
"Gertman",9
"Gil",9
"Gilbert O. Raasch",9
"Giles W. Mead, Jr., J. E. De Falla",9
"GMBL",9
"Gordon; Pojeta, John",9
"Gore; Traverse",9
"Grossbeck",9
"HALL",9
"(Hall), Bell",9
"Hanna",9
"Harry B. Whittington",9
"Hartman",9
"Heather J. Cumming",9
"Heck; Yenne, Keith A.; Henbest",9
"Herendeen; Les; Dilcher, David L.",9
"Hessler",9
"H. Implow",9
"Hoffman",9
"Howard; Buzas",9
"Hubert Lyman Clark, Benjamin Walworth Arnold",9
"H. Wedel",9
"Ian D. Naumann",9
"(I, Lea), Warren D. Allmon",9
"Isaacson; Antelo; Boucot",9
"Ischudi",9
"James R. Macdonald",9
"Janet Haig",9
"J. Clarke",9
"Jean Roux",9
"Jeffery Leis, Sally Reader",9
"Jerry Baum",9
"Jessica Colavite",9
"J. García-Gómez",9
"J. Jillson",9
"J. Krysan",9
"J. M. Armentrout",9
"JM, Judy D. Weinstein",9
"John Hyacinth Power",9
"Johnson; Norris",9
"Jon L. Norenburg",9
"Joseph A. Cushman",9
"J. Rasmussen",9
"J.W. Porter",9
"Karsten E. Hartel, et al.",9
"Karsten E. Hartel, Geoff Moser",9
"Karsten E. Hartel, Ioannis E. Batjakas",9
"Karsten E. Hartel, Steve Correia",9
"Kenneth T. Wilkins",9
"Kerremans",9
"Kesling",9
"Kesling+Paul",9
"Klavac",9
"Kollmann; Sohl, Norman F.",9
"K. Watanabe",9
"K. Williams",9
"Landman; Waage, Karl M.",9
"LAT",9
"Leopold Conradt, DeMott",9
"Levi and Exline, 1964",9
"Linda Trueb",9
"Linn.",9
"Linne",9
"(Lyon), Stumm",9
"Madhvi Venkatraman",9
"M. A. Izquierdo",9
"Maria Ana Tovar-Hernandez",9
"Marian Dagosto",9
"Mario Giacinto Peracca",9
"Marland Pratt Billings, Davis",9
"Marsh, Othniel Charles",9
"Marsh, Sr., W",9
"Martin Meinander",9
"Matt C. Mihlbachler",9
"Maturo, Frank J. S.",9
"Maydell",9
"McCoy",9
"(Meek and Worthen)",9
"Megan L. Schwartz",9
"Melbourne A. Carriker, Jr.",9
"Meyer; Ausich",9
"(Meyer), Meyer",9
"Michael F. Braby",9
"Michael J. Fuller",9
"Michael W. Littmann",9
"Miller, Osgood",9
"Monros",9
"Naples Zoological Station",9
"Nettie MacGinitie",9
"Nicholson",9
"Norman E. Hartweg, Oliver",9
"Oji, Tatsuo",9
"(Olivi), Amadeus William Grabau",9
"Pam Rasmussen",9
"Parks",9
"Patrick Druckenmiller, Caleb Brown",9
"Paweł Jałoszyński",9
"Peter H. Wiebe",9
"Peter J.P. Whitehead, P.K. Talwar",9
"Peter J. Wagner",9
"(Phillips 1829)",9
"Piotr Naskrecki",9
"Prescott, Zabrina",9
"Purdy, Robert W",9
"Raymond, House",9
"R. Crawford",9
"Ricardo S. Santos, Filipe M. Porteiro",9
"Rich",9
"Robert E. Gregg",9
"Roland Houart",9
"Rothausen",9
"R. Stohler",9
"R. V. Lando, Ernest E. Williams",9
"RYAN J. HAUPT",9
"Samuel W. James",9
"Sandy",9
"Savel R. Daniels",9
"Schuchert, Zeddie Paul Bowen",9
"Scott Thomson",9
"(Shaler+Foerste), Shaw",9
"Sheldon",9
"(Shumard+Yandell)",9
"(Simpson), Alpheus Hyatt",9
"(Smith), Bernhard Kummel",9
"S. M. Klages",9
"Solem; Yochelson",9
"S. Roble",9
"S. S. Berry",9
"Stehli, F. G.",9
"Stemann, T",9
"Stephen J. Copland",9
"Sternberg, George Morton",9
"Stewart Blaine Peck",9
"Storrs L. Olson",9
"Stuart Weller",9
"Stwm.",9
"Taylor; Smith",9
"Teichert+Kummel, Teichert",9
"Teiichi Kobayashi",9
"Theodore J. Papenfuss",9
"Thomas Guensberg",9
"Tiffany A. Selje",9
"Troelsen, J. C.",9
"Trowbridge",9
"Van Houten",9
"Van Nidek",9
"Vernon L. Bell",9
"Virginia Expedition",9
"W.B. Peck, 1980",9
"W. D. Edmonds",9
"W. E. Snyder",9
"Wilfrid E. Clark, Louis S. Leakey",9
"Wilhite, Dewey Ray",9
"Wilkes",9
"Willard D. Hartman",9
"William McMichael Woodworth",9
"William Morton Wheeler, William M. Mann",9
"W.P.B.",9
"Yatalog",9
"Yochelson; Boyd; Wardlaw",9
"Yochelson; Nuelle",9
"Yong-sheng Tong",9
"Yves Plusquellec",9
"Zachos, Louis",9
"Zullo, Victor A.; Marincovich, Louie",9
"A. Birula",8
"Adelseck",8
"A. D. MacGillivray",8
"Alan H. Cheetham",8
"Albert Oppel, Alpheus Hyatt",8
"Albert Ordway",8
"(Aldrich), Warren D. Allmon",8
"Alexander; Smith",8
"Allan Foster Archer",8
"A. Mallis",8
"Amanda Leiss",8
"Amy D. Meisner",8
"Anders Gunnar Johannes Rhodin, Russell Alan Mittermeier",8
"Angel",8
"Angelin",8
"Anthony Stuart",8
"Antoni Serra",8
"Archie J. McArthur",8
"Aubrey G. Scarbrough",8
"Barbara Lawrence",8
"(Barrande), Shaw",8
"Baum; Wheeler",8
"Bd.",8
"B. Greenspan",8
"Billingsley; McKee",8
"(Billings), Schuchert",8
"Blgr",8
"Blgr.",8
"Boardman; Cheetham",8
"Bones",8
"Boucot; Amsden",8
"B., P.",8
"Brad Deline",8
"BRAMLETTE",8
"(Bruguiere), Alpheus Hyatt",8
"Carl Heinrich",8
"Carlos Rivero-Blanco",8
"Carpenter, Frank",8
"C. Cleveland",8
"C.F. Hansen",8
"Chapman",8
"Charles A. Allen",8
"Cheng",8
"Cheng-chao Liu",8
"Chris Paulin",8
"Christian Rabeling, Stefan P. Cover",8
"Christian W. L. E. Suffrian",8
"Craig, E",8
"C. Shield",8
"Daniel L. Brinkman, Richard L. Cifelli, Nicholas Czaplewski",8
"Daniel Stadtmauer",8
"David Bardack",8
"David C. Parris",8
"David P. Wooldridge",8
"David R. Smith",8
"David Techter",8
"Dayse W. A. Marques",8
"DeKay, DeMott",8
"Dekay, Raymond",8
"Detterman",8
"DMM",8
"Dr. Catarina Rydin",8
"Dr. David J. Woodland",8
"Dylan Wainwright",8
"Edward L. Stanley",8
"EDWARDS",8
"Elmer J. Gutherz",8
"Emery, Meaghan",8
"Emry, Robert J.; Storer, Robert W.",8
"Endlicher",8
"Erik E. Cordes",8
"Feldmann; Babcock",8
"Felt",8
"Ferdinand Vandeveer Hayden",8
"Ferguson",8
"Fisher, Gordon",8
"Fister",8
"Fontaine; Knowlton",8
"Francois L. Gervais",8
"Furnish",8
"Fursich; Kennedy",8
"F W. Beghtel",8
"F.W. Schueler",8
"Galusha, Theodore",8
"Ganis, R.",8
"Geinitz",8
"Geoffrey",8
"George E. Ball",8
"George Kruck Cherrie",8
"George W. Taylor",8
"George X. Rothdrake",8
"Giles T. MacIntyre",8
"Giovanni Pari",8
"GLM",8
"(Goldfuss), Fay",8
"Gonzalo Giribet, Izaskun Merino-Sáinz, Ligia R. Benavides",8
"Gordon; Poole",8
"Gregg F. Gunnell, Philip D. Gingerich",8
"Gregory D. Edgecombe",8
"Grier; Grier; Petersen",8
"Guido Dingerkus, Karsten E. Hartel",8
"Hageman",8
"Hall, Meek+Worthen",8
"Hampton W. Parker",8
"Haque",8
"Harry A. ten Hove",8
"Hasiotis, S1",8
"Hatcher; Marsh; Lull, Richard S.",8
"(Hawle + Corda), Erben",8
"Henderson",8
"Henderson, R. A.; Kennedy, William J.; Cobban, William A.",8
"Henry Crosby Stetson",8
"Henry Kelso Coale",8
"Henry, TW1",8
"Hermann von Meyer",8
"Howe; Goldman",8
"Howells, Robert",8
"H.O. Yates",8
"(Hyatt+Smith), Kummel+Steele",8
"Iosune Uriz",8
"Jacques Von Bedriaga",8
"James P. Smith",8
"J. A. Munro",8
"J. Clark",8
"Jerzy Prószyński",8
"J. F. Fitzpatrick, Jr.",8
"J. H. Batty",8
"J. H. Emerton",8
"J. Howard Hutchison",8
"J I Saiz Salinas",8
"Joachim Barrande, Alpheus Hyatt",8
"Joachim Barrande, Parsley",8
"JOB, July 1982 (= JO Brookhart)",8
"John A. Wojtowicz",8
"John B. Hatcher",8
"John D. McEachran, Karsten E. Hartel",8
"John S. Newberry",8
"José Miguel Cei",8
"José Miguel Cei, Etheridge, Videla",8
"Joseph Pitty Couthouy",8
"J.S. Ascher",8
"J. S. Weaver",8
"Karsten E. Hartel, Karsten E. Hartel",8
"Karsten E. Hartel, Rex Passion",8
"KELLETT",8
"Kellum",8
"Kevin Padian",8
"Kirkland, Paul",8
"Kwang-Tsao Shao",8
"Latr.",8
"L Brownell",8
"Lec.",8
"Leif Störmer ident.",8
"Leonhard Hess Stejneger",8
"Leviton",8
"L. G. Abele",8
"L. Jillson",8
"Loomis",8
"Luis Dantart",8
"Lutz",8
"LYDIA KOROPECKYJ-COX",8
"MacClintock",8
"Mafalda Freitas",8
"M.A. Frazar",8
"Mai Bao Thu",8
"Manoela M.F. Marinho",8
"Margaret M. Smith",8
"Maria Rambla",8
"Mark Wilkinson",8
"Marvalee H. Wake",8
"Mary E. Ahearn",8
"McAfee, Robert, Assistant Professor (GA-PCOM), Philadelphia College of Osteopathic Medicine Georgia Campus",8
"McLaughlin, Win",8
"Medvedev",8
"(Meek+Worthen), Wills",8
"M. Fernand Lataste",8
"Michael S. Engel",8
"Michael T. Jones",8
"Michener",8
"Miller; Scott; Medioli",8
"Mills; Davis",8
"M. J. Copeland",8
"M. Londono",8
"Molly Smith",8
"(Munster)",8
"Mutchler",8
"(Nicholson), Stumm",8
"Nobuo Tsurusaki",8
"Norma Feinberg",8
"N.S. Obraztsov",8
"O. C. Hastings",8
"Ochs",8
"Oliver S. Flint, Jr.",8
"O. Lomholdt",8
"Oppenheim",8
"Paul H. Skelton",8
"Paulo A. Buckup",8
"Paulo E. Vanzolini, Ernest E. Williams",8
"Paulo H.F. Lucinda",8
"Paul Sackley",8
"PB",8
"Peter J.P. Whitehead",8
"Peterson",8
"PETTERS",8
"P. Graham Oliver",8
"Philip D. Gingerich, Gregg F. Gunnell",8
"P. Jäger",8
"Platnick & Ubick, 2007",8
"Pohl",8
"Preston E. Cloud, Jr.",8
"Raasch",8
"Raf?",8
"(Raymond), Cooper",8
"Raymond, Galloway+St, Jean",8
"R. Carter, 1991",8
"Richard G. Miller",8
"Richard L. Cifelli",8
"Richard L. Haedrich, James E. Craddock",8
"Rich Mooi",8
"Roberto E. Reis, E. H. L. Pereira",8
"Robin S. Wapels",8
"(Roemer), Bodenbender",8
"Rojas",8
"(Rominger",8
"Royal D. Suttkus",8
"Roy A. Norton",8
"Rudiger Bieler",8
"RV Nathaniel B. Palmer",8
"(Salter), Fletcher",8
"Sanders; Easton; Sanders; Knight; Miller",8
"Savage, Norman M., University of Oregon (UNITED STATES)",8
"S.B. Mulaik",8
"S. Brown",8
"Schafer; Fois",8
"SCHELLWIEN",8
"Schenck, Hubert",8
"S. Heding",8
"S. I. Smith, 1885",8
"S. Kohler",8
"Smith?",8
"Sowerby, Amadeus William Grabau",8
"Spjeldnaes, Nils, University of Oslo (NORWAY)",8
"S. Prehal",8
"Spuler",8
"Squires Et Al",8
"Stephen C. Ayala",8
"Stephen C. Ayala, Marco A. Serna",8
"Stephenson, Lloyd W.; Monroe",8
"Sterling J. Nesbitt",8
"STONE",8
"Switzer; Boucot",8
"Takuma Haga",8
"Tanner",8
"Taylor; Wilson",8
"T. Chen",8
"Teichert+Kummel",8
"Terry Frest",8
"Than",8
"T. Haney, 1998",8
"Thomas Barbour, BS",8
"Thomas Barbour, Emmett Reid Dunn",8
"Thomas Linkowski, James E. Craddock",8
"Thomas Martin",8
"T. Hughes, 13.ii.2004",8
"Tom Buntzen",8
"U. Grimm",8
"University of Maine",8
"U. S. Treat",8
"VanDenburgh",8
"Victor C. Twitty",8
"Victor J. Monserrat",8
"(von Moller), Teichert",8
"Walter G. Joyce, Tyler R. Lyson",8
"Walter P. Baranowski",8
"Watson",8
"W. C. Brown",8
"W.D. Duckworth",8
"Weidman, Lawrence A.; Feldmann, Rodney M.",8
"Weinzierl, L. L.; Applin",8
"Whitcomb",8
"White, Kummel+Steele",8
"Whitmore, Frank Clifford, Jr., (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",8
"Wilhelm Bock",8
"Willey",8
"W. L. McAtee",8
"Woodburne",8
"(Worthen)",8
"W. W. Worthington",8
"Yochelson; Stanley",8
"Ziegler; Sandberg; Austin",8
"Zullo, Victor A.; Feldmann; Wiedman",8
"Zullo, Victor A.; Miller",8
"Adam P. Summers",7
"A Harley",7
"Ailsa M. Clark",7
"Albert Schwartz, Jr., CRC?",7
"Albert Schwartz, Jr., LOgren",7
"Alexander Agassiz, Samuel Walton Garman, Walter Faxon",7
"Alexander Wetmore",7
"Alexandre B. Bonaldo, Norman I. Platnick, Nadine Dupérré, Lily Berniker",7
"Alexandre Marceniuk",7
"Alex Parker",7
"Ali, S.",7
"Alpheus Hyatt, William James Kennedy, Richard A.  Reyment, Norman MacLeod, Jonathan Kreiger",7
"Alpheus S. Packard",7
"Amanda Bates",7
"André A. Mignault",7
"Anne Pasch",7
"Anthony J. Geneva",7
"Anthony Laska, Robert W. Topp",7
"A. Oliva",7
"Arnold; Anderson",7
"Arnold B. Grobman",7
"August Frederick Foerste, James T. Sprinkle",7
"Babcock; Merriam",7
"Bangs",7
"Banta",7
"BATSCH",7
"Becker",7
"B, Ed Ling",7
"B.H. Ebel",7
"(Billings), Raymond",7
"Bjorklund; Goll",7
"Blumenbach",7
"Blyth",7
"Bottle Label(s), Anne W. Everly",7
"Bouchard-Chantereaux",7
"Boucot; Saul",7
"Brad Pusey",7
"Bramlette; Woodring; Bramlette",7
"BREHM",7
"Brendon E. Boudinot, Theodore P. Sumnicht, Rachelle Adams",7
"Brochu, Christopher A., (UI), University of Iowa (UNITED STATES)",7
"Brongniart/1822",7
"B. Roth",7
"Brown; Gordon",7
"Bruce B. Collette, Diego F. B. Vaz",7
"Bryce M. Wright",7
"Buch, Jackson",7
"Burch Family",7
"Carle H. Dane",7
"Carl Gans, Alexander",7
"Carlos C. Goff",7
"Carolin T. Haug",7
"Carrie M. Schweitzer",7
"Chapin",7
"CHAPMAN",7
"Chares R. Gougeon, Fitzpatrick",7
"Charles D. Nelson",7
"Charles E. Aiken",7
"Charles W. Andrews",7
"Chiriac; Grigorescu",7
"Chris Meehan",7
"Christian de Muizon",7
"Christopher P. Kenaley, Tracey T.  Sutton",7
"Chuang",7
"Chung-chien Young",7
"Churkin; Jaeger; Eberlein",7
"Clark; Berry",7
"Claude Weber",7
"CONRAD",7
"CORYELL | CUSKLEY",7
"Cotteau",7
"Craig Nelson",7
"Cushman; Cole",7
"Dana J. Ehret",7
"Dana; Wilkes",7
"Darby",7
"D'ARCHIAC, HAIME",7
"David H. Stansbery",7
"David Starr Jordan, D.K. Goss",7
"Delo",7
"Derek S. Sikes",7
"Dice, D. S.; Dice, D. S.",7
"Dieke",7
"Dixon, Kofron",7
"D.M. Delo ident.",7
"D.P. Henry",7
"Dr. Clyde F. E. Roper",7
"Duncan",7
"Eduardo Flórez",7
"Edward T. Tozer",7
"E. Hoebeke",7
"Elizabeth McGee",7
"Elkanah Billings",7
"Eller",7
"E. L. Taylor",7
"Emmons, Ebenezer",7
"Emmrich, Bruton",7
"Ernest E. Williams, Rand",7
"Eshelman; Grady",7
"E. S. Wheeler",7
"Ezra T. Cresson, Sr.",7
"F. Cassola",7
"F. de Lafresnaye",7
"F. Julian Fell",7
"F. Phillips",7
"Francis Henry Allen",7
"Frederick W. Sardeson",7
"(Fritz), Lieberman",7
"F. R. King",7
"F R. S",7
"G. A. Bierstadt",7
"Gary L. Stringer",7
"George A. Maack",7
"George F. Eaton",7
"George P. Rightmire",7
"Georges Pasteur",7
"George Willett",7
"Georgia E. Knauss, Walter G. Joyce, Tyler R. Lyson, Dean Pearson",7
"Gernant; Gibson; Whitmore",7
"G G. Forney",7
"Gibson, Sarah Z., Graduate Student, University of Kansas Museum of Natural History (UNITED STATES)",7
"G. N. Azarkina",7
"Gorham",7
"Greger",7
"Grunt, Teichert",7
"Guillaume Billet, Cecile Blondel, Christian de Muizon",7
"GUMBEL",7
"Gunther Kohler, S. Blair Hedges",7
"Gustave H. Cotteau",7
"GYaffe",7
"(Hall), Davis",7
"(Hall), Schuchert",7
"(Hall), Victor G. Springer",7
"HALL, WHITFIELD",7
"Hanns Bruno Geinitz",7
"Harrison",7
"Hayes; Ulrich",7
"Henderson, J, Junius",7
"H. Jacques Carter",7
"H. J. Hansen",7
"H. Matsumoto",7
"Hobart Muir Smith, Edward Harrison Taylor",7
"Horner, John R., (MOR), Montana State University (UNITED STATES)",7
"Howard",7
"HTandy",7
"Hugo Viehmeyer",7
"Hussakof; Bryant",7
"Hyatt+Smith",7
"Ident. W.F. Whittard",7
"Israel del Toro",7
"James A. Hopson",7
"James E. Morrow, Jr.",7
"James H. Madsen, John S. McIntosh, David S. Berman",7
"James W. Gidley",7
"Jason A. Lillegraven",7
"J. Daniel Bryant",7
"J. E. Alicata",7
"Jean-Pierre Gosse",7
"Jedlička",7
"J.G. Franclemont",7
"J. Guerrero-Kommritz, ix.2001",7
"J.H. Stock, 1973",7
"JOB, July 1982 (JOB = JO Brookhart)",7
"John G. Lundberg, Francisco Mago-Leccia",7
"J. Savage",7
"Karl Patterson Schmidt",7
"Karsten E. Hartel, Vincent Manfredi",7
"Katharina Bastl, Gina Semprebon, Doris Nagel",7
"Keith S. Thomson, Amy R. McCune",7
"Kenneth Carpenter",7
"Kenneth D. Vogt",7
"Kerin Claeson, Maureen O'Leary, Eric M. Roberts, Famory Sissoko, Mamadou Bouare, Leif Tapanila, David Goodwin, Michael D. Gottfried",7
"K.E. Runge, Carl J. Ferraris Jr.",7
"Kevin O'Connor",7
"Kingsolver",7
"Klug",7
"Knisley",7
"Krister T. Smith, Jacques A. Gauthier",7
"K. Sasaki",7
"L.",7
"Lake Victoria Research Team",7
"LAMB",7
"Laurence M. Hardy",7
"LeRoy, L.",7
"Lindemann; Yochelson",7
"Lipke B. Holthuis",7
"L.M. Nosal",7
"Lo-chi Chen",7
"Luis M. Chiappe",7
"Lynn",7
"MacLead",7
"Madsen",7
"M. A. Frazar",7
"Maria G. Mangano",7
"Marine Biological Laboratory",7
"Mário C.C. de Pinna",7
"Marland Pratt Billings, Whittington",7
"Martin J. Ramírez, Antonio D. Brescovit, Alexandre B. Bonaldo",7
"Mary Moorman",7
"Masashi Yoshimura",7
"Matt Bowser",7
"Matthias Stehmann",7
"Maurice Kottelat",7
"M. Brandley",7
"McCabe, T. T.; McCabe, E. B.",7
"M. C. Mercer",7
"(M'Coy)",7
"Meek+Worthen, Jackson",7
"Melanie L. J. Stiassny",7
"Meyer; Slaughter, Bob H.; McLellan; Purdy, Robert W.",7
"M. Fisher",7
"M. Ganev",7
"Michael A. Zuykov",7
"Michael Ophir",7
"Michael R. House",7
"Mikhail Dmitrievich Ruzsky",7
"(Miller), Miller",7
"Minchen Chow",7
"Miss Carole Stentz",7
"M. L. Christoffersen, viii.1978",7
"Moosehead Lake Survey",7
"M. Rakovic",7
"M. Stewart",7
"Murphey, PC",7
"Myers, JEC",7
"Nicolas Kusnezov",7
"Nicole Cannon",7
"Olalla, A . M. and Brothers",7
"Owen F. Bryant",7
"Owens",7
"Padial, De la Riva",7
"(Pander)",7
"PARKER, JONES",7
"Paula M. Mikkelsen",7
"Paul A. Muller",7
"P Bouchet",7
"P. C. Barnard",7
"P. Dessart",7
"Peter Wellnhofer",7
"Philip A. Adams",7
"Philip S. Lobel, Philip S. Lobel",7
"Pilsbury, HA",7
"Pitrat; Rogers",7
"Power",7
"(Prantl+Pribyl), Bruton",7
"Priscilla Caroline Silva, Carlos A. M. Oliveira",7
"Prof. Daniel B. Blake",7
"Prof. Else M. Friis",7
"(Quenstedt)",7
"R.A. Langellier",7
"Randall",7
"Rasetti, Franco D.; Theokritoff, George",7
"R. A. Sweet",7
"Raymond C. Moore",7
"Ray; Wetmore; Dunkel; Drez",7
"R. Bosmans",7
"Reinhart",7
"Repenning; Hopkins; Rubin",7
"Rice, W",7
"Richard O. Prum",7
"Richard P. Vari, et al.",7
"Riley",7
"R. M. Schuster",7
"Robert Broom",7
"Robert H. Parker",7
"Robert M. Chandler",7
"Robert W. Wilson",7
"Roux",7
"R. S. Fellows",7
"Sally L. Richardson, Karsten E. Hartel",7
"Samuels, Joshua",7
"Samuel S. Strong",7
"Sanders",7
"Schindewolf, Bernhard Kummel",7
"Schwager",7
"SCJ",7
"Scott L. Travers",7
"Scripps Institution of Oceanography",7
"Shawn P. Zack, Tonya A. Penkrot, David W. Krause, Mary C. Maas",7
"Shrock; Shimer",7
"Shute",7
"Simeon T. Barrett",7
"Simpson, George Gaylord",7
"Smith, F. William Burley, Fritts",7
"Smith; Isham, Larry B.",7
"S. Olsen",7
"Sorauf, James E.; Oliver",7
"Steven Myers",7
"Sturtz",7
"Sumio Sakagami, Bernhard Kummel",7
"T.A. Bowling, 1973",7
"Tamura; Packard",7
"Thomas F. Tyning",7
"Thomas R. Van Devender",7
"Tokio Shikama",7
"Tong",7
"Toshio Kawai",7
"Ulla S. Kapp",7
"Ulrich+Cooper, Shaw",7
"Ulrich, Edward Oscar",7
"USCSS Blake Expeditions",7
"V. Schneider",7
"(Waagen), Bernhard Kummel",7
"Walcott, Lieberman",7
"Walter K. Fisher",7
"Warren E. Burgess",7
"Westgate; Emry, Robert J.",7
"Whiteaves",7
"W. H. Niles",7
"William L. Fink, Karsten E. Hartel",7
"William M. Goldsmith, Andrew D. Williston",7
"William Morton Wheeler, James Wittenmyer Chapman",7
"William S. Bryant",7
"WILLIAMSON",7
"Winthrop P. Haynes",7
"Yochelson; Stinchcomb, Bruce L.",7
"Yochelson; Sturmer; Stanley",7
"Zhiyan Zhou, Cheng Quan, Yu-Sheng (Christopher) Liu",7
"Ziegler",7
"Aaron",6
"A. C. Johnson",6
"Adam A. Krantz",6
"Adams; Girty; White",6
"Agustin Fernandez-Yepez",6
"A. H. Helme",6
"Alfred Brazier Howell",6
"Alison Pirie",6
"Alistair J. McGowan",6
"Alpheus Hyatt, Bernhard Kummel",6
"Andrew D. Williston, S. Tonia Hsieh",6
"A. N. Kotlyar",6
"Ann C. Matarese",6
"A. O. Melendy",6
"Arata, Andrew A., (TU), Tulane University (UNITED STATES)",6
"Arthur Anker",6
"Arthur G. Humes",6
"Arthur H. Clarke Jr.",6
"A. Smith",6
"Attila Osi, Edina Prondvai, Jordan C. Mallon, Emese R. Bodor",6
"August Frederick Foerste, DeMott",6
"Axel Vilhelm Ljungman",6
"Babcock; Speyer",6
"Balk",6
"Banta; McKinney; Zimmer",6
"Banyue Wang",6
"(Barrande), Campbell",6
"Barry R. Wilson",6
"Bassett, N.A.",6
"(Basterot), Amadeus William Grabau",6
"BCD",6
"Be; McIntyre",6
"Betrem",6
"Billman; Hopkins",6
"Björn Kurtén",6
"Bobb Schaeffer, Nicholas G. McDonald",6
"Bobby Ebelhar",6
"(Boeck), Whittard",6
"Bonnie B. Blaimer, Brian L. Fisher",6
"Boucot; Ehlers",6
"Branson",6
"Brian L. Beatty",6
"Briggs; Rolfe",6
"Bruce H. Bauer",6
"BRUGUIERE",6
"Bryan Windmiller",6
"Carl George",6
"Carlos Villarroel Arispe, Larry G. Marshall",6
"Carlson; Boucot",6
"Carl Wiman",6
"Carolyn Weiss",6
"Casteel; Adam",6
"Cathy A. Karp",6
"C. D. Schubart",6
"CH",6
"Chamberlin",6
"Charles Baker Adams",6
"Charles H. Hitchcock",6
"Charles Karnella, James E. Craddock",6
"Christopher Adams, Karsten E. Hartel",6
"Christopher J. Durden",6
"Chuankuei Li",6
"(Clarke), DeMott",6
"Clark[Ent]",6
"Claude W. Hibbard",6
"C. M. Fitch",6
"Cobban, JK",6
"Conant",6
"Connolly",6
"(Conrad in Wailes), Warren D. Allmon",6
"Consuelo Alarcon",6
"Cooper; Kindle",6
"Courtill, V, Vincent",6
"(Cragin), Albritton",6
"Crawley, LM",6
"Cuancara",6
"Cushman; Kleinpell",6
"Daniel J. Drew",6
"(d'Archiac+deVerneuil)",6
"Darlan T. Feitosa, Matheus G. Pires",6
"David A. Good",6
"David G. Smith, Karsten E. Hartel",6
"D, B",6
"D. Brzoska",6
"Dean",6
"DEFRANCE",6
"de Meijere",6
"DiMichele, William A., (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",6
"Diogo Couto",6
"D. K. Caldwell",6
"D. K. Kevan",6
"D. Marston Bates",6
"Dockery, David",6
"D'Orbigny",6
"Dorf",6
"Doug McAvoy",6
"D. P. Woodbury",6
"Dr. Michael Retzer",6
"Dr. Steve LoDuca : Eastern Michigan University",6
"D.S. Chanlder",6
"Duane A. Schlitter",6
"Dufeau, David",6
"Duncan Gray",6
"Dunn, M.T., Mapes, R.H., Rigby, J.K.",6
"D. Willer",6
"Eagar",6
"Edgar Ledyard",6
"Edmund",6
"Edward G. Riley, Robert J. Barney",6
"Edward Osborne Wilson, William Louis Brown, Jr.",6
"E.F. Sweeney",6
"Elliott Coues",6
"Elmer S. Riggs",6
"Erik N. Kjellesvig-Waering",6
"Ernest E. Williams, William E. Duellman",6
"F. A. Pierce",6
"F. C. Bowditch",6
"Fernald",6
"FLANDRIN",6
"Flávio Dias Passos",6
